
Data Report
2024-05-06 10:24:08
Location, 1, Y16134

Time,ConcRT(ug/m3),ConcHR(ug/m3),Flow(lpm),AT(C),RH(%),BP(mmHg),FT(C),FRH(%),Status
2023-06-08 19:00:00,+099999,+000018,+15.6,+027.3,046,621,+029.0,030,00384
2023-06-08 20:00:00,+048340,+000014,+16.0,+026.5,050,621,+032.1,026,00000
2023-06-08 21:00:00,+000013,+000010,+16.0,+025.2,065,622,+033.0,028,00000
2023-06-08 22:00:00,+000014,+000009,+16.0,+024.0,084,622,+032.7,032,00000
2023-06-08 23:00:00,+000006,+000004,+16.0,+023.2,095,622,+032.5,034,00000
2023-06-09 00:00:00,+000003,+000008,+16.0,+022.6,099,622,+031.6,036,00000
2023-06-09 01:00:00,+000006,+000004,+16.0,+022.6,097,622,+031.6,036,00000
2023-06-09 02:00:00,+000003,+000002,+16.0,+022.4,098,622,+031.7,035,00000
2023-06-09 03:00:00,-000003,-000008,+16.0,+021.9,099,622,+030.9,036,00000
2023-06-09 04:00:00,-000010,+000000,+16.0,+021.9,098,622,+030.6,036,00000
2023-06-09 05:00:00,+000003,+000003,+16.0,+021.8,096,622,+030.7,036,00000
2023-06-09 06:00:00,+041668,+099999,+12.8,+021.8,096,622,+030.6,036,00512
2023-06-09 07:00:00,+099999,+099999,+00.0,+021.9,094,623,+028.0,038,00272
2023-06-09 08:00:00,+099999,+099999,+00.0,+022.5,089,623,+024.8,039,00272
2023-06-09 09:00:00,+099999,+099999,+00.0,+023.5,083,623,+024.2,041,00272
2023-06-09 10:00:00,+099999,+099999,+00.0,+025.7,070,623,+025.4,041,00272
2023-06-09 11:00:00,+099999,+099999,+00.0,+026.5,057,623,+027.3,040,00272
2023-06-09 12:00:00,+099999,+099999,+00.0,+028.7,047,622,+029.1,039,00272
2023-06-09 13:00:00,+099999,+099999,+00.0,+029.5,043,621,+030.3,039,00272
2023-06-09 14:00:00,+099999,+099999,+00.0,+029.7,040,621,+031.2,038,00272
2023-06-09 15:00:00,+099999,+099999,+00.0,+030.2,038,620,+032.0,037,00272
2023-06-09 16:00:00,+099999,+099999,+00.3,+029.8,039,620,+032.0,036,00272
2023-06-09 17:00:00,+099999,+099999,+05.4,+028.8,043,621,+030.9,032,00768
2023-06-09 18:00:00,+099999,+099999,+00.0,+027.3,051,621,+030.4,033,00272
2023-06-09 19:00:00,+099999,+099999,+00.0,+026.4,056,621,+028.0,035,00272
2023-06-09 20:00:00,+099999,+099999,+00.0,+025.7,057,621,+026.5,036,00272
2023-06-09 21:00:00,+099999,+099999,+00.0,+024.9,064,622,+025.7,037,00272
2023-06-09 22:00:00,+099999,+099999,+00.0,+024.0,071,622,+024.8,038,00272
2023-06-09 23:00:00,+099999,+099999,+00.0,+023.2,077,622,+024.0,039,00272
2023-06-10 00:00:00,+099999,+099999,+00.0,+022.5,081,622,+023.2,040,00272
2023-06-10 01:00:00,+099999,+099999,+00.0,+021.8,088,622,+022.4,041,00272
2023-06-10 02:00:00,+099999,+099999,+00.0,+021.7,089,621,+021.7,042,00272
2023-06-10 03:00:00,+099999,+099999,+00.0,+021.3,092,621,+021.8,042,00272
2023-06-10 04:00:00,+099999,+099999,+00.0,+021.2,093,622,+021.5,043,00272
2023-06-10 05:00:00,+099999,+099999,+00.0,+020.9,094,622,+021.1,044,00272
2023-06-10 06:00:00,+099999,+099999,+00.0,+020.8,094,622,+020.5,044,00272
2023-06-10 07:00:00,+099999,+099999,+00.0,+021.7,089,622,+021.0,045,00272
2023-06-10 08:00:00,+099999,+099999,+00.0,+023.9,079,623,+023.6,044,00272
2023-06-10 09:00:00,+099999,+099999,+00.0,+026.0,063,623,+026.5,043,00272
2023-06-10 10:00:00,+099999,+099999,+00.0,+027.1,058,623,+028.5,041,00272
2023-06-10 11:00:00,+099999,+099999,+00.0,+028.6,051,622,+029.7,040,00272
2023-06-10 12:00:00,+099999,+099999,+00.0,+029.3,045,622,+030.9,039,00272
2023-06-10 13:00:00,+099999,+099999,+00.0,+029.9,042,621,+031.3,039,00272
2023-06-10 14:00:00,+099999,+099999,+00.0,+030.7,039,621,+032.2,038,00272
2023-06-10 15:00:00,+099999,+099999,+00.0,+030.5,039,620,+032.6,037,00272
2023-06-10 16:00:00,+099999,+099999,+00.0,+031.3,036,620,+032.6,037,00272
2023-06-10 17:00:00,+099999,+099999,+00.0,+029.5,042,620,+032.4,036,00272
2023-06-10 18:00:00,+099999,+099999,+00.0,+025.0,071,621,+028.9,037,00272
2023-06-10 19:00:00,+099999,+099999,+00.0,+022.7,093,622,+025.2,040,00272
2023-06-10 20:00:00,+099999,+099999,+00.0,+022.4,097,622,+022.8,042,00272
2023-06-10 21:00:00,+099999,+099999,+00.0,+022.6,096,622,+022.5,043,00272
2023-06-10 22:00:00,+099999,+099999,+00.0,+022.5,099,622,+022.4,044,00272
2023-06-10 23:00:00,+099999,+099999,+00.0,+022.7,096,622,+022.5,045,00272
2023-06-11 00:00:00,+099999,+099999,+00.0,+022.8,094,622,+022.6,046,00272
2023-06-11 01:00:00,+099999,+099999,+00.0,+022.6,094,622,+022.7,046,00272
2023-06-11 02:00:00,+099999,+099999,+00.0,+022.3,093,621,+022.4,046,00272
2023-06-11 03:00:00,+099999,+099999,+00.0,+022.3,093,621,+022.3,047,00272
2023-06-11 04:00:00,+099999,+099999,+00.0,+021.9,094,622,+022.2,047,00272
2023-06-11 05:00:00,+099999,+099999,+00.0,+021.5,095,622,+021.9,047,00272
2023-06-11 06:00:00,+099999,+099999,+00.0,+021.4,095,622,+021.5,048,00272
2023-06-11 07:00:00,+099999,+099999,+00.0,+021.6,095,623,+021.4,048,00272
2023-06-11 08:00:00,+099999,+099999,+00.0,+022.7,090,623,+022.3,048,00272
2023-06-11 09:00:00,+099999,+099999,+00.0,+024.1,083,623,+024.0,047,00272
2023-06-11 10:00:00,+099999,+099999,+00.0,+025.5,076,623,+025.7,046,00272
2023-06-11 11:00:00,+099999,+099999,+00.0,+028.0,055,623,+028.0,045,00272
2023-06-11 12:00:00,+099999,+099999,+00.0,+029.5,044,622,+030.4,043,00272
2023-06-11 13:00:00,+099999,+099999,+00.0,+030.1,039,622,+031.5,041,00272
2023-06-11 14:00:00,+099999,+099999,+00.0,+030.4,034,621,+032.2,040,00272
2023-06-11 15:00:00,+099999,+099999,+00.0,+029.0,041,621,+031.1,039,00272
2023-06-11 16:00:00,+099999,+099999,+00.0,+028.2,047,621,+030.2,039,00272
2023-06-11 17:00:00,+099999,+099999,+00.0,+027.1,052,621,+028.8,040,00272
2023-06-11 18:00:00,+099999,+099999,+00.0,+026.0,060,621,+027.2,041,00272
2023-06-11 19:00:00,+099999,+099999,+00.0,+025.3,066,622,+025.8,042,00272
2023-06-11 20:00:00,+099999,+099999,+00.0,+024.8,057,622,+024.8,042,00272
2023-06-11 21:00:00,+099999,+099999,+00.0,+024.3,053,622,+024.3,042,00272
2023-06-11 22:00:00,+099999,+099999,+00.0,+023.6,059,623,+023.8,043,00272
2023-06-11 23:00:00,+099999,+099999,+00.0,+023.0,063,623,+023.2,043,00272
2023-06-12 00:00:00,+099999,+099999,+00.0,+022.5,066,622,+022.5,044,00272
2023-06-12 01:00:00,+099999,+099999,+00.0,+022.2,069,622,+022.2,044,00272
2023-06-12 02:00:00,+099999,+099999,+00.0,+022.0,072,622,+021.9,044,00272
2023-06-12 03:00:00,+099999,+099999,+00.0,+021.9,073,621,+021.8,045,00272
2023-06-12 04:00:00,+099999,+099999,+00.0,+021.8,074,621,+021.8,045,00272
2023-06-12 05:00:00,+099999,+099999,+00.0,+021.2,086,622,+021.4,046,00272
2023-06-12 06:00:00,+099999,+099999,+00.0,+020.8,088,622,+020.8,046,00272
2023-06-12 07:00:00,+099999,+099999,+00.0,+021.5,083,622,+020.9,047,00272
2023-06-12 08:00:00,+099999,+099999,+00.0,+023.1,071,623,+022.4,046,00272
2023-06-12 09:00:00,+099999,+099999,+00.0,+024.4,063,623,+024.8,045,00272
2023-06-12 10:00:00,+099999,+099999,+00.0,+025.9,058,623,+026.0,044,00272
2023-06-12 11:00:00,+099999,+099999,+00.0,+027.7,051,622,+028.4,043,00272
2023-06-12 12:00:00,+099999,+099999,+00.0,+028.6,047,622,+029.6,042,00272
2023-06-12 13:00:00,+099999,+099999,+00.0,+029.5,045,621,+031.1,041,00272
2023-06-12 14:00:00,+099999,+099999,+00.0,+028.7,049,620,+031.4,040,00272
2023-06-12 15:00:00,+099999,+099999,+00.0,+029.0,048,620,+031.5,040,00272
2023-06-12 16:00:00,+099999,+099999,+00.0,+027.6,055,620,+030.7,040,00272
2023-06-12 17:00:00,+099999,+099999,+00.0,+026.7,060,620,+028.5,041,00272
2023-06-12 18:00:00,+099999,+099999,+00.0,+026.1,065,620,+027.1,042,00272
2023-06-12 19:00:00,+099999,+099999,+00.0,+025.2,073,621,+025.9,043,00272
2023-06-12 20:00:00,+099999,+099999,+00.0,+024.8,075,621,+025.0,043,00272
2023-06-12 21:00:00,+099999,+099999,+00.0,+024.8,073,622,+024.8,044,00272
